generation,bestRecord,genBestRecord,avgReward
0,-0.002334032,0,-272.8868
1,520.3923,520.3923,-143.1944
2,826.9727,826.9727,-45.30202
3,916.608,916.608,-3.558654
4,945.7838,945.7838,186.3969
5,945.7838,941.6458,268.6616
6,1085.401,1085.401,314.8955
7,1085.401,1082.733,248.3651
8,1102.781,1102.781,287.7375
9,1102.781,1099.474,273.8351
10,1178.785,1178.785,256.5657
11,1280.036,1280.036,330.1746
12,1280.036,1274.746,252.6956
13,1280.036,1279.351,253.6908
14,1280.036,1229.494,311.4857
15,1280.912,1280.912,285.5701
16,1280.912,1273.741,321.1787
17,1280.912,1262.404,238.7367
18,1280.912,1272.443,271.3812
19,1280.912,1279.351,268.8118
20,1281.309,1281.309,255.0349
21,1281.309,1216.835,283.1416
22,1281.309,1252.129,250.0394
23,1441.645,1441.645,257.1263
24,1446.137,1446.137,235.7359
